Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-07-26,Kingsman: The Golden Circle,2017,https://boxd.it/atfWuf,,,theater,2017-09-22
2024-01-20,Tag,2018,https://boxd.it/5Dy6Ft,,,theater,2018-07-03
2024-01-20,Tag,2018,https://boxd.it/5Dy7cn,,Yes,theater,2018-07-03
2024-01-20,Ant-Man and the Wasp,2018,https://boxd.it/5Dy8VN,,,theater,2018-07-17
2024-01-20,The First Purge,2018,https://boxd.it/5DybTZ,,,theater,2018-07-24
2024-01-20,Christopher Robin,2018,https://boxd.it/5DycEh,,,theater,2018-08-21
2024-01-20,Aladdin,2019,https://boxd.it/5DyeqL,,,theater,2019-05-28
2024-01-20,Men in Black: International,2019,https://boxd.it/5Dyff5,,,theater,2019-06-18
2024-01-20,Once Upon a Time... in Hollywood,2019,https://boxd.it/5Dyh99,5,,theater,2019-07-30
2024-01-20,Once Upon a Time... in Hollywood,2019,https://boxd.it/5Dyi2t,5,Yes,theater,2019-08-13
2024-01-20,Good Boys,2019,https://boxd.it/5DyjmT,,,theater,2019-08-16
2024-01-20,Zombieland: Double Tap,2019,https://boxd.it/5Dykff,,,,2019-11-02
2020-02-22,50/50,2011,https://boxd.it/103Q2R,4.5,,,2020-02-21
2020-02-22,Zack and Miri Make a Porno,2008,https://boxd.it/104uDN,2,,,2020-02-22
2020-02-23,To All the Boys I've Loved Before,2018,https://boxd.it/109IW5,4,,,2020-02-22
2020-02-26,Yes Man,2008,https://boxd.it/10oUIJ,3,,,2020-02-25
2020-02-26,Benchwarmers 2: Breaking Balls,2019,https://boxd.it/10pcnz,0.5,,,2020-02-25
2020-02-29,Back to the Future Part III,1990,https://boxd.it/10Cxp3,3,Yes,,2020-02-28
2020-02-29,She's Out of My League,2010,https://boxd.it/10CUrr,3.5,,,2020-02-28
2020-03-03,The Interview,2014,https://boxd.it/10U8DF,2,,,2020-03-02
2020-03-03,To All the Boys: P.S. I Still Love You,2020,https://boxd.it/10U8Kh,4,,,2020-03-02
2020-03-07,The Great Gatsby,2013,https://boxd.it/11bwFJ,4,Yes,,2020-03-06
2020-03-07,Zathura: A Space Adventure,2005,https://boxd.it/11bwJL,3,,,2020-03-06
2020-03-22,Ford v Ferrari,2019,https://boxd.it/12t0sN,4,,,2020-03-21
2020-03-29,Shutter Island,2010,https://boxd.it/13h9qL,5,,,2020-03-28
2020-03-30,Kill Bill: Vol. 1,2003,https://boxd.it/13pH6V,5,,,2020-03-29
2020-03-30,Iron Man 2,2010,https://boxd.it/13rCbP,4.5,,,2020-03-30
2020-03-31,The Incredible Hulk,2008,https://boxd.it/13yLXx,2.5,,,2020-03-31
2020-04-01,The Greatest Showman,2017,https://boxd.it/13CGwp,3.5,,,2020-03-31
2020-04-01,Thor,2011,https://boxd.it/13DFs9,3.5,,,2020-03-31
2020-04-02,Captain America: The First Avenger,2011,https://boxd.it/13MgER,4,,,2020-04-02
2020-04-05,The Avengers,2012,https://boxd.it/14a6jd,5,,,2020-04-05
2020-04-08,Iron Man 3,2013,https://boxd.it/14vrGT,3.5,,,2020-04-07
2020-04-08,Thor: The Dark World,2013,https://boxd.it/14weUZ,3.5,,,2020-04-08
2020-04-09,Captain America: The Winter Soldier,2014,https://boxd.it/14Db1V,4.5,,,2020-04-09
2020-04-10,The Social Network,2010,https://boxd.it/14Kdgx,5,,,2020-04-10
2020-04-11,Guardians of the Galaxy,2014,https://boxd.it/14TrgT,4,,,2020-04-11
2020-04-12,Avengers: Age of Ultron,2015,https://boxd.it/14ZVVf,4,,,2020-04-11
2020-04-12,The Hangover,2009,https://boxd.it/151Crz,3,,,2020-04-12
2020-04-15,Good Boys,2019,https://boxd.it/15pJEj,3,,,2020-04-14
2020-04-15,Ant-Man,2015,https://boxd.it/15qwyz,3,,,2020-04-14
2020-04-19,21,2008,https://boxd.it/15U1Cl,4.5,,,2020-04-18
2020-04-20,Captain America: Civil War,2016,https://boxd.it/162Oyj,5,,,2020-04-19
2020-04-22,Avengers: Age of Ultron,2015,https://boxd.it/16gjSP,4.5,Yes,,2020-04-21
2020-04-24,Ferris Bueller's Day Off,1986,https://boxd.it/16wD9x,4,Yes,,2020-04-23
2020-04-28,Captain America: Civil War,2016,https://boxd.it/1719zR,5,Yes,,2020-04-27
2020-05-03,Groundhog Day,1993,https://boxd.it/17Ehpt,3,,,2020-05-02
2020-05-03,The Avengers,2012,https://boxd.it/17GyR9,5,Yes,,2020-05-03
2020-05-05,Zombieland: Double Tap,2019,https://boxd.it/17Uz9F,2.5,Yes,,2020-05-04
2020-05-10,Doctor Strange,2016,https://boxd.it/18u99B,4,,,2020-05-09
2020-05-10,The Last Dance,2020,https://boxd.it/18ua3J,,,,2020-05-09
2020-05-12,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/18IMC1,4,,,2020-05-11
2020-05-14,Spider-Man: Homecoming,2017,https://boxd.it/18XxoD,4,,,2020-05-13
2020-05-15,Thor: Ragnarok,2017,https://boxd.it/192T0t,4.5,,,2020-05-14
2020-05-16,Molly's Game,2017,https://boxd.it/19ca7T,4.5,,,2020-05-16
2020-05-17,Black Panther,2018,https://boxd.it/19fz7b,4,Yes,,2020-05-16
2020-05-18,Silver Linings Playbook,2012,https://boxd.it/19nJX3,5,,,2020-05-17
2020-05-19,Avengers: Infinity War,2018,https://boxd.it/19x7Zv,5,,,2020-05-18
2020-05-19,Soul Surfer,2011,https://boxd.it/19yAuj,3,,,2020-05-18
2020-05-22,Crazy Rich Asians,2018,https://boxd.it/19SajT,4,,,2020-05-21
2020-05-23,Escape Room,2019,https://boxd.it/19XJfH,2.5,Yes,,2020-05-22
2020-05-23,Captain Marvel,2019,https://boxd.it/19Zojd,3,,,2020-05-22
2020-05-23,The Last Dance,2020,https://boxd.it/19Zp8F,5,,,2020-05-22
2020-05-24,Midsommar,2019,https://boxd.it/1a48Ux,2.5,,a24,2020-05-23
2020-05-29,Ant-Man and the Wasp,2018,https://boxd.it/1aFV3B,3,Yes,,2020-05-28
2020-06-02,Avengers: Endgame,2019,https://boxd.it/1b7GFL,5,,,2020-06-01
2020-06-04,High School Musical 2,2007,https://boxd.it/1bjKtD,3,Yes,,2020-06-03
2020-06-05,High School Musical 3: Senior Year,2008,https://boxd.it/1bqoO9,2,,,2020-06-04
2020-06-07,Fahrenheit 451,2018,https://boxd.it/1bDB8r,1.5,,,2020-06-06
2020-06-08,The Hateful Eight,2015,https://boxd.it/1bLnJz,5,,,2020-06-07
2020-06-15,Long Gone Summer,2020,https://boxd.it/1cwfR5,4.5,,"documentary, 30 for 30",2020-06-14
2020-06-25,Knives Out,2019,https://boxd.it/1duq8v,3.5,Yes,,2020-06-24
2020-06-25,Catch Me If You Can,2002,https://boxd.it/1duUtD,5,Yes,,2020-06-24
2020-07-27,The Kissing Booth 2,2020,https://boxd.it/1gNFmH,2.5,,,2020-07-26
2020-08-01,Uncut Gems,2019,https://boxd.it/1hjdB9,5,,,2020-07-31
2020-08-06,Caddyshack,1980,https://boxd.it/1hQtMN,4,,,2020-08-05
2020-08-07,Step Brothers,2008,https://boxd.it/1hSG8v,5,,,2020-08-06
2020-08-07,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1hU9u3,4,,,2020-08-06
2020-08-11,The Last Song,2010,https://boxd.it/1il6zj,3.5,,,2020-08-10
2020-08-11,National Treasure,2004,https://boxd.it/1ila6Z,4.5,,,2020-08-10
2020-08-11,Spider-Man: Far From Home,2019,https://boxd.it/1iovwP,4.5,,,2020-08-11
2020-08-22,There Will Be Blood,2007,https://boxd.it/1jtrUd,,,,2020-08-21
2020-08-25,Rain Man,1988,https://boxd.it/1jPcEX,4,,,2020-08-24
2020-08-28,Zodiac,2007,https://boxd.it/1k8aj7,4.5,,,2020-08-27
2020-08-31,Black Panther,2018,https://boxd.it/1kpyyJ,4.5,Yes,,2020-08-30
2020-09-05,Django Unchained,2012,https://boxd.it/1kWzZd,5,,,2020-09-04
2020-09-12,Due Date,2010,https://boxd.it/1lI3ON,3,,,2020-09-11
2020-09-20,Tenet,2020,https://boxd.it/1mxtA5,2.5,,"theater, with dad",2020-09-19
2020-09-22,Limitless,2011,https://boxd.it/1mL2e5,5,Yes,,2020-09-21
2020-10-02,The Report,2019,https://boxd.it/1nLuW9,3.5,,,2020-10-01
2020-10-04,Whiplash,2014,https://boxd.it/1nYykJ,5,,,2020-10-03
2020-10-11,The F**k-It List,2020,https://boxd.it/1oKZRV,1,,,2020-10-10
2020-10-15,Saving Mr. Banks,2013,https://boxd.it/1paVvN,4.5,,,2020-10-14
2020-10-25,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/1qh1gF,5,Yes,,2020-10-24
2020-10-25,Borat Subsequent Moviefilm,2020,https://boxd.it/1qh1Av,3,,,2020-10-24
2020-10-31,Moneyball,2011,https://boxd.it/1qZWeT,5,Yes,,2020-10-31
2020-11-10,The Queen's Gambit,2020,https://boxd.it/1s4Ow5,5,,,2020-11-09
2020-11-11,Easy A,2010,https://boxd.it/1s8Jj9,3,,,2020-11-10
2020-11-18,Back to the Future,1985,https://boxd.it/1sRzEV,4.5,Yes,,2020-11-17
2020-11-29,Snowden,2016,https://boxd.it/1u3rWl,4,,,2020-11-29
2020-12-02,Dallas Buyers Club,2013,https://boxd.it/1uot7B,4,,,2020-12-01
2020-12-05,Elf,2003,https://boxd.it/1uDo1X,5,Yes,,2020-12-04
2020-12-10,Pineapple Express,2008,https://boxd.it/1viWe9,3,Yes,,2020-12-10
2020-12-14,The Haunting of Bly Manor,2020,https://boxd.it/1vJcfJ,5,,,2020-12-13
2020-12-15,Taxi Driver,1976,https://boxd.it/1vQgOn,5,,,2020-12-14
2020-12-25,Jersey Boys,2014,https://boxd.it/1x258j,4.5,,,2020-12-24
2021-01-10,Miracle,2004,https://boxd.it/1zQPUV,4.5,,,2021-01-10
2021-01-28,What's Eating Gilbert Grape,1993,https://boxd.it/1CyrTl,4,,,2021-01-27
2021-01-29,Starstruck,2010,https://boxd.it/1CGU1D,2.5,,,2021-01-29
2021-01-31,Spotlight,2015,https://boxd.it/1CW8fT,4,,,2021-01-30
2021-02-02,Chappaquiddick,2017,https://boxd.it/1Dj4OV,4,,,2021-02-01
2021-02-05,Iron Man 2,2010,https://boxd.it/1DCTkZ,4.5,Yes,,2021-02-04
2021-02-14,To All the Boys: Always and Forever,2021,https://boxd.it/1EYd81,2.5,,,2021-02-14
2021-02-19,You Again,2010,https://boxd.it/1FHVnJ,3,,,2021-02-18
2021-03-27,The Grand Budapest Hotel,2014,https://boxd.it/1Kyem1,3.5,,,2021-03-26
2021-04-03,Isle of Dogs,2018,https://boxd.it/1LyMgF,4.5,,ktp movie night,2021-04-02
2021-04-11,Saving Private Ryan,1998,https://boxd.it/1MLyoF,5,,,2021-04-10
2021-04-19,Project Power,2020,https://boxd.it/1NW68b,3,,,2021-04-18
2021-04-19,Thunder Force,2021,https://boxd.it/1NX8hV,1,,,2021-04-18
2021-05-15,War Dogs,2016,https://boxd.it/1RtNTn,4,,,2021-05-14
2021-06-09,A Quiet Place Part II,2020,https://boxd.it/1UTYyp,5,,theater,2021-06-08
2021-06-28,The Dark Knight,2008,https://boxd.it/1XhICL,,,,2021-06-27
2021-06-30,The Conjuring: The Devil Made Me Do It,2021,https://boxd.it/1XxQAl,3.5,,theater,2021-06-29
2021-07-02,Safe Haven,2013,https://boxd.it/1XNDsP,3,,,2021-07-01
2021-07-03,The Tomorrow War,2021,https://boxd.it/1XVsdP,3,,,2021-07-02
2021-07-12,Luca,2021,https://boxd.it/1Zho2r,5,,,2021-07-11
2021-07-23,The Devil Wears Prada,2006,https://boxd.it/20W8hh,4,,,2021-07-22
2021-07-28,Black Widow,2021,https://boxd.it/21GXOD,4,,theater,2021-07-27
2021-08-01,Loki,2021,https://boxd.it/22eWN3,5,,,2021-07-31
2021-08-02,The Trial of the Chicago 7,2020,https://boxd.it/22ofPZ,4,,,2021-08-01
2021-08-02,The Departed,2006,https://boxd.it/22qwyP,5,,,2021-08-01
2021-08-07,Marriage Story,2019,https://boxd.it/237XjX,4,,,2021-08-06
2021-08-13,The Kissing Booth 3,2021,https://boxd.it/23XmFL,,,,2021-08-12
2021-08-29,Spider-Man,2002,https://boxd.it/26eYAL,3.5,,,2021-08-28
2021-08-31,Spider-Man 2,2004,https://boxd.it/26CduT,4,,,2021-08-30
2021-09-20,The Wolf of Wall Street,2013,https://boxd.it/29ihDx,5,,,2021-09-19
2021-10-02,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/2aTSVL,5,,"theater, with kaitlyn, with sydney, regal green hills",2021-10-01
2021-11-12,The Guilty,2021,https://boxd.it/2hlJOL,3.5,,,2021-11-11
2021-12-16,Spider-Man 3,2007,https://boxd.it/2mxU31,4.5,,,2021-12-15
2021-12-16,A California Christmas,2020,https://boxd.it/2mxUaB,1,,christmas movie,2021-12-15
2021-12-18,Deadpool,2016,https://boxd.it/2mOXcT,4,Yes,,2021-12-17
2021-12-18,A Castle for Christmas,2021,https://boxd.it/2mP2lL,1,,,2021-12-17
