Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-06,2024 First Watches,"first watch, 2024",https://boxd.it/rCTzU,All of my first watches in 2024 in order of when I watched them

Position,Name,Year,URL,Description
1,Anyone But You,2023,https://boxd.it/EzA8,
2,Saltburn,2023,https://boxd.it/z4eg,
3,The Longest Ride,2015,https://boxd.it/6JCA,
4,The Little Mermaid,2023,https://boxd.it/fVum,
5,Godzilla Minus One,2023,https://boxd.it/zu4c,
6,Now You See Me 2,2016,https://boxd.it/99fw,
7,Poison,2023,https://boxd.it/Is7Q,
8,Facing Nolan,2022,https://boxd.it/zdsQ,
9,Burnt,2015,https://boxd.it/9mVg,
10,Armstrong,2019,https://boxd.it/lKVe,
11,The Rat Catcher,2023,https://boxd.it/Is8a,
12,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
13,Loki,2021,https://boxd.it/sbHg,Just Season 2
14,Dumb Money,2023,https://boxd.it/tNdU,
15,The Menu,2022,https://boxd.it/lScm,
16,The Hill,2023,https://boxd.it/wzY4,
17,John Wick,2014,https://boxd.it/7dEc,I technically have reviewed this twice. The first watch didn’t count though. I put it on and passed out during a flight.
18,Blazing Saddles,1974,https://boxd.it/1UHQ,
19,Serving Sara,2002,https://boxd.it/1RgM,
20,Maestro,2023,https://boxd.it/j0DE,
21,Baywatch,2017,https://boxd.it/biG6,
22,She's the Man,2006,https://boxd.it/1Y7W,
23,The Wedding Planner,2001,https://boxd.it/27Cu,Fell asleep lol
24,Piranha 3D,2010,https://boxd.it/U5q,
25,She's All That,1999,https://boxd.it/1Wz0,
26,Doc & Darryl,2016,https://boxd.it/d7z8,
27,Bob Marley: One Love,2024,https://boxd.it/uckw,
28,Once Upon a Time in Queens,2021,https://boxd.it/SZii,
29,Madame Web,2024,https://boxd.it/nwD0,
30,Wonka,2023,https://boxd.it/tCQm,
31,Poor Things,2023,https://boxd.it/tNWU,
32,Mean Girls,2024,https://boxd.it/p6nO,
33,The Upside,2017,https://boxd.it/fEPM,
34,Dune,2021,https://boxd.it/fA7G,
35,Dune: Part Two,2024,https://boxd.it/pUfA,
36,Paint,2023,https://boxd.it/uYp0,
37,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,
38,Ferrari,2023,https://boxd.it/cEtq,
39,Ghostbusters: Frozen Empire,2024,https://boxd.it/AxYu,
40,Godzilla × Kong: The New Empire,2024,https://boxd.it/v1PK,
41,Kung Fu Panda 4,2024,https://boxd.it/CepE,
42,Stuck in Love,2012,https://boxd.it/3L08,
43,Civil War,2024,https://boxd.it/z1jW,
44,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,
45,A Rainy Day in New York,2019,https://boxd.it/h2z6,
46,Monkey Man,2024,https://boxd.it/kvsO,
47,Ocean's Twelve,2004,https://boxd.it/2aZ2,
48,The King of Staten Island,2020,https://boxd.it/litG,
49,Challengers,2024,https://boxd.it/zld0,
50,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
51,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,
52,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
53,Fernando Nation,2010,https://boxd.it/tIg,
54,"history of the entire world, i guess",2017,https://boxd.it/rQx0,
55,Mother of the Bride,2024,https://boxd.it/Fmay,
56,Unfrosted,2024,https://boxd.it/vPY8,
57,Priscilla,2023,https://boxd.it/Cz3k,
58,Pixels,2010,https://boxd.it/4pfM,
59,The Idea of You,2024,https://boxd.it/vOW6,
60,Kingdom of the Planet of the Apes,2024,https://boxd.it/ohEE,
61,Yesterday,2019,https://boxd.it/iF7M,
62,BlackBerry,2023,https://boxd.it/CoVK,
63,Upgraded,2024,https://boxd.it/ClSe,
64,Brooklyn,2015,https://boxd.it/5bdk,
65,Argylle,2024,https://boxd.it/w1kk,
66,Atlas,2024,https://boxd.it/mK2q,
67,"MoviePass, MovieCrash",2024,https://boxd.it/KH7K,
68,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,
69,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
70,The Fall Guy,2024,https://boxd.it/s0Bm,
71,The Nanny Diaries,2007,https://boxd.it/1RZM,
72,Everybody Wants Some!!,2016,https://boxd.it/9mgM,
73,Lost in Translation,2003,https://boxd.it/2b0E,
74,Animal House,1978,https://boxd.it/2062,
75,Fargo,1996,https://boxd.it/2aHM,
76,Inside Out,2015,https://boxd.it/4KHC,
77,Inside Out 2,2024,https://boxd.it/CFrC,
78,The Boys in the Boat,2023,https://boxd.it/v1OC,
79,Wanderlust,2012,https://boxd.it/D9q,
80,A Quiet Place: Day One,2024,https://boxd.it/sDAi,
81,Kinds of Kindness,2024,https://boxd.it/CWPw,
82,Leave the World Behind,2023,https://boxd.it/re0i,
83,13 Going on 30,2004,https://boxd.it/1X6e,
84,Snowed Inn Christmas,2017,https://boxd.it/hJPw,
85,Get a Job,2016,https://boxd.it/5EQU,
86,American Sniper,2014,https://boxd.it/5LDy,
87,Paris 2024 Olympic Opening Ceremony,2024,https://boxd.it/O3ro,
88,Twisters,2024,https://boxd.it/qV7a,
89,Star Wars,1977,https://boxd.it/72s,
90,Longlegs,2024,https://boxd.it/KzLM,
91,Alien: Romulus,2024,https://boxd.it/zGqO,
92,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
93,The Instigators,2024,https://boxd.it/E4jA,
94,Speak No Evil,2024,https://boxd.it/G9f8,
95,Blink Twice,2024,https://boxd.it/vIOg,
96,Megalopolis,2024,https://boxd.it/lPBS,
97,Untold: Sign Stealer,2024,https://boxd.it/OAaU,
98,Anora,2024,https://boxd.it/Egcw,
99,Scary Movie,2000,https://boxd.it/24CG,
100,Will & Harper,2024,https://boxd.it/K5eo,
101,Saturday Night,2024,https://boxd.it/Gpfo,
102,Trap,2024,https://boxd.it/D4nK,
103,A Real Pain,2024,https://boxd.it/CjNG,
104,We Live in Time,2024,https://boxd.it/FC5u,
105,My Old Ass,2024,https://boxd.it/zLP0,
106,A Family Affair,2024,https://boxd.it/Bj9O,
107,Moana 2,2024,https://boxd.it/LcjW,
108,Afraid,2024,https://boxd.it/Ec7s,
109,Focus,2015,https://boxd.it/7zl2,
110,Fly Me to the Moon,2024,https://boxd.it/A7Xg,
111,Requiem for the Big East,2014,https://boxd.it/7GEg,
112,Conclave,2024,https://boxd.it/AO8q,
113,Carry-On,2024,https://boxd.it/C0B2,
114,The Brutalist,2024,https://boxd.it/k4BO,
115,Red One,2024,https://boxd.it/vTBM,
116,Die Hard,1988,https://boxd.it/2a7u,
117,A Complete Unknown,2024,https://boxd.it/oBYa,
118,Caddo Lake,2024,https://boxd.it/wDSu,
