Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-07,2025 Favorite First Watches,"2025, first watch",https://boxd.it/CoBK2,Movies that I watched for the first time in 2025 that I really really enjoyed and would recommend to you if you hadn’t seen them (ordered by my watch date)

Position,Name,Year,URL,Description
1,Se7en,1995,https://boxd.it/29zs,
2,Hit Man,2023,https://boxd.it/ANB2,
3,Better Man,2024,https://boxd.it/u6t8,
4,Nickel Boys,2024,https://boxd.it/CStQ,
5,Talk to Me,2022,https://boxd.it/C6uQ,
6,A Different Man,2024,https://boxd.it/BoEC,
7,Mulholland Drive,2001,https://boxd.it/297o,
8,When Harry Met Sally...,1989,https://boxd.it/29W2,
9,The Wild Robot,2024,https://boxd.it/IWFy,
10,Coach Carter,2005,https://boxd.it/218e,
11,Inception,2010,https://boxd.it/1skk,
12,Mickey 17,2025,https://boxd.it/q1Dk,
13,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
14,Fast Times at Ridgemont High,1982,https://boxd.it/1QnM,
15,Parasite,2019,https://boxd.it/hTha,
16,Full Metal Jacket,1987,https://boxd.it/2a1Q,
17,A Minecraft Movie,2025,https://boxd.it/zRro,
18,Warfare,2025,https://boxd.it/LbRo,
19,Sinners,2025,https://boxd.it/KQMM,
20,Thunderbolts*,2025,https://boxd.it/BfbQ,
21,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,
22,Bride Wars,2009,https://boxd.it/1W3I,
23,Lilo & Stitch,2025,https://boxd.it/kbUe,
24,F1,2025,https://boxd.it/yjVM,
25,Inherent Vice,2014,https://boxd.it/5hla,
26,Juror #2,2024,https://boxd.it/FRwU,
27,Superman,2025,https://boxd.it/E9IU,
28,Eddington,2025,https://boxd.it/o6MC,
29,Together,2025,https://boxd.it/LdFE,
30,Barbarian,2022,https://boxd.it/yohi,
31,Weapons,2025,https://boxd.it/EMTM,
32,The Theory of Everything,2014,https://boxd.it/7YtA,
33,White Men Can't Jump,2023,https://boxd.it/yEMG,
34,Freakier Friday,2025,https://boxd.it/GxwW,
35,Lurker,2025,https://boxd.it/McHG,
36,The Prestige,2006,https://boxd.it/293w,
37,The Roses,2025,https://boxd.it/MjnI,
38,One Battle After Another,2025,https://boxd.it/DUHM,
39,The Smashing Machine,2025,https://boxd.it/syUC,
40,The Lighthouse,2019,https://boxd.it/icFU,
41,Nuremberg,2025,https://boxd.it/K6qU,
42,Stranger Than Fiction,2006,https://boxd.it/28Za,
43,Beautiful Boy,2018,https://boxd.it/g76Q,
44,The Running Man,2025,https://boxd.it/u36A,
45,Hamnet,2025,https://boxd.it/woVy,
