Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-14,Foreign Language Films Ranked,ranking,https://boxd.it/RJlbW,Trying to get more exposure to foreign language films. Here’s a ranked list of the ones I have seen.

Position,Name,Year,URL,Description
1,Godzilla Minus One,2023,https://boxd.it/zu4c,
2,The Secret Agent,2025,https://boxd.it/KkUE,
3,Parasite,2019,https://boxd.it/hTha,
4,All Quiet on the Western Front,2022,https://boxd.it/H08,
5,Squid Game,2021,https://boxd.it/x1OG,
6,No Other Choice,2025,https://boxd.it/nKiA,
7,I'm Still Here,2024,https://boxd.it/BPEO,
8,I'm Not a Robot,2023,https://boxd.it/IGTE,
9,Emilia Pérez,2024,https://boxd.it/AP3G,
