Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-11-18,Hallmark Slop,,https://boxd.it/Qbbea,Exactly what you think it is

Position,Name,Year,URL,Description
1,Meet Me Next Christmas,2024,https://boxd.it/FMjG,
2,No Sleep 'Til Christmas,2018,https://boxd.it/k5Ki,
3,Snowed Inn Christmas,2017,https://boxd.it/hJPw,
4,Holidate,2020,https://boxd.it/mLcc,
5,Little Italy,2018,https://boxd.it/j1w0,
6,A Castle for Christmas,2021,https://boxd.it/svx6,
7,Champagne Problems,2025,https://boxd.it/OwgO,
8,Write Before Christmas,2019,https://boxd.it/nc9Y,
9,Falling for Christmas,2022,https://boxd.it/vpEG,
