Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-18,MCU Ranked,"mcu, ranking",https://boxd.it/sbnF2,

Position,Name,Year,URL,Description
1,Avengers: Endgame,2019,https://boxd.it/9vE4,
2,Avengers: Infinity War,2018,https://boxd.it/9vEe,
3,Captain America: Civil War,2016,https://boxd.it/89Ja,
4,Doctor Strange,2016,https://boxd.it/8MH8,
5,Captain America: The First Avenger,2011,https://boxd.it/28b0,
6,Iron Man,2008,https://boxd.it/28dA,
7,WandaVision,2021,https://boxd.it/sbGW,
8,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
9,Black Panther,2018,https://boxd.it/8MHs,
10,Loki,2021,https://boxd.it/sbHg,
11,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
12,Thor: Ragnarok,2017,https://boxd.it/8MHi,
13,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
14,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,
15,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
16,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
17,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
18,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
19,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,
20,Moon Knight,2022,https://boxd.it/zeDq,
21,Ant-Man,2015,https://boxd.it/3vmW,
22,Eternals,2021,https://boxd.it/j36o,
23,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,
24,Iron Man 2,2010,https://boxd.it/1WZM,
25,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,
26,Thor,2011,https://boxd.it/1WQU,
27,Thunderbolts*,2025,https://boxd.it/BfbQ,
28,Iron Man 3,2013,https://boxd.it/2cBQ,
29,Black Widow,2021,https://boxd.it/hWV8,
30,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,
31,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,
32,Captain Marvel,2019,https://boxd.it/9vSA,
33,Thor: Love and Thunder,2022,https://boxd.it/mMAY,
34,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,
35,Thor: The Dark World,2013,https://boxd.it/2DqA,
36,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,
37,Hawkeye,2021,https://boxd.it/xQqK,
38,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,
39,Captain America: Brave New World,2025,https://boxd.it/uYDm,
40,The Incredible Hulk,2008,https://boxd.it/28dU,
41,Madame Web,2024,https://boxd.it/nwD0,
