Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-29,Movies Frank Wants me to Watch,dad watchlist,https://boxd.it/rfs4k,My dad always wants me to watch random movies I’ve never heard of. Below are a compilation of those movies.

Position,Name,Year,URL,Description
1,Pulp Fiction,1994,https://boxd.it/29Pq,
2,Boogie Nights,1997,https://boxd.it/23um,
3,The Cannonball Run,1981,https://boxd.it/1UdQ,
4,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
5,Blazing Saddles,1974,https://boxd.it/1UHQ,
6,Jay and Silent Bob Strike Back,2001,https://boxd.it/26ZM,
7,Beverly Hills Cop,1984,https://boxd.it/2baE,
8,48 Hrs.,1982,https://boxd.it/2b18,
9,Falling Down,1993,https://boxd.it/194M,
10,Romancing the Stone,1984,https://boxd.it/1YXS,
11,True Romance,1993,https://boxd.it/2aBa,
12,Speed,1994,https://boxd.it/28qk,
13,Desperado,1995,https://boxd.it/20Bk,
14,From Dusk Till Dawn,1996,https://boxd.it/29HQ,
15,The Long Kiss Goodnight,1996,https://boxd.it/1TUa,
16,The Hitcher,1986,https://boxd.it/1Yq0,
17,RoboCop,1987,https://boxd.it/22Wu,
18,Kung Fu Hustle,2004,https://boxd.it/1YBi,
19,The Whole Nine Yards,2000,https://boxd.it/27vS,
20,Night Shift,1982,https://boxd.it/1NtC,
21,Stripes,1981,https://boxd.it/gY6,
22,Fargo,1996,https://boxd.it/2aHM,
23,Raising Arizona,1987,https://boxd.it/2avQ,
24,Jackie Brown,1997,https://boxd.it/2aVO,
25,Midnight Run,1988,https://boxd.it/1ZnQ,
26,Snatch,2000,https://boxd.it/2b7U,
27,Swingers,1996,https://boxd.it/1WNc,
28,The Peanut Butter Falcon,2019,https://boxd.it/gzu2,
29,Get On Up,2014,https://boxd.it/73bO,
30,Heaven Can Wait,1978,https://boxd.it/1SkU,
31,The Last Castle,2001,https://boxd.it/27rm,
32,Parkland,2013,https://boxd.it/6fQs,
33,"Hail, Caesar!",2016,https://boxd.it/881G,
34,The Catcher Was a Spy,2018,https://boxd.it/gLdC,
35,Blitz,2024,https://boxd.it/xR8i,
36,Poltergeist,1982,https://boxd.it/2a0o,
