Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-02-03,Movies I’ve seen on the National Film Registry,,https://boxd.it/SkKvQ,Ordered by release date

Position,Name,Year,URL,Description
1,12 Angry Men,1957,https://boxd.it/2auI,
2,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
3,Airplane!,1980,https://boxd.it/29yu,
4,Animal House,1978,https://boxd.it/2062,
5,Back to the Future,1985,https://boxd.it/2b8e,
6,Bambi,1942,https://boxd.it/25AQ,
7,Beauty and the Beast,1991,https://boxd.it/1XhG,
8,The Big Lebowski,1998,https://boxd.it/2b6C,
9,Blazing Saddles,1974,https://boxd.it/1UHQ,
10,The Breakfast Club,1985,https://boxd.it/27q4,
11,A Christmas Story,1983,https://boxd.it/29sw,
12,The Dark Knight,2008,https://boxd.it/2b0k,
13,Daughters of the Dust,1991,https://boxd.it/2dkw,
14,Die Hard,1988,https://boxd.it/2a7u,
15,Dog Star Man: Part IV,1964,https://boxd.it/4auW,
16,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
17,Fargo,1996,https://boxd.it/2aHM,
18,Fast Times at Ridgemont High,1982,https://boxd.it/1QnM,
19,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
20,Field of Dreams,1989,https://boxd.it/26VK,
21,Forrest Gump,1994,https://boxd.it/728,
22,The Godfather,1972,https://boxd.it/2aNK,
23,Grease,1978,https://boxd.it/29YW,
24,Groundhog Day,1993,https://boxd.it/2b3e,
25,Jaws,1975,https://boxd.it/2a5e,
26,Jurassic Park,1993,https://boxd.it/2aA2,
27,A League of Their Own,1992,https://boxd.it/1UdG,
28,The Lion King,1994,https://boxd.it/201Q,
29,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
30,The Matrix,1999,https://boxd.it/2a1m,
31,Memento,2000,https://boxd.it/2bcK,
32,Pinocchio,1940,https://boxd.it/1V8C,
33,Planet of the Apes,1968,https://boxd.it/29p8,
34,Return of the Jedi,1983,https://boxd.it/27Vm,
35,Saving Private Ryan,1998,https://boxd.it/29ro,
36,The Shining,1980,https://boxd.it/29Nu,
37,Shrek,2001,https://boxd.it/29zi,
38,The Silence of the Lambs,1991,https://boxd.it/2aHW,
39,Snow White and the Seven Dwarfs,1937,https://boxd.it/2arO,
40,The Sound of Music,1965,https://boxd.it/1MLK,
41,Star Wars,1977,https://boxd.it/72s,
42,Taxi Driver,1976,https://boxd.it/2b8y,
43,Titanic,1997,https://boxd.it/2a2k,
44,Toy Story,1995,https://boxd.it/29qA,
45,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/2aLu,
46,The Wizard of Oz,1939,https://boxd.it/29Xu,
47,Hairspray,1988,https://boxd.it/1UKK,
48,Iron Man,2008,https://boxd.it/28dA,
49,The Little Mermaid,1989,https://boxd.it/1WYO,
50,When Harry Met Sally...,1989,https://boxd.it/29W2,
51,Home Alone,1990,https://boxd.it/29Fg,
52,No Country for Old Men,2007,https://boxd.it/21ew,
53,The Social Network,2010,https://boxd.it/17ue,
54,Spy Kids,2001,https://boxd.it/1Xcw,
55,Clueless,1995,https://boxd.it/1Ygk,
56,The Truman Show,1998,https://boxd.it/18U8,
57,Inception,2010,https://boxd.it/1skk,
58,The Incredibles,2004,https://boxd.it/1XLm,
59,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
60,Apollo 13,1995,https://boxd.it/2a6G,
