Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-08-29,Movies where Nicole Kidman tells me about dazzling images on a huge silver screen,"a list, amc",https://boxd.it/O9KC0,Movies I’ve seen with A List in order

Position,Name,Year,URL,Description
1,Bob Marley: One Love,2024,https://boxd.it/uckw,
2,Madame Web,2024,https://boxd.it/nwD0,
3,Poor Things,2023,https://boxd.it/tNWU,
4,Dune: Part Two,2024,https://boxd.it/pUfA,
5,Ghostbusters: Frozen Empire,2024,https://boxd.it/AxYu,
6,Godzilla × Kong: The New Empire,2024,https://boxd.it/v1PK,
7,Kung Fu Panda 4,2024,https://boxd.it/CepE,
8,Civil War,2024,https://boxd.it/z1jW,
9,Monkey Man,2024,https://boxd.it/kvsO,
10,Challengers,2024,https://boxd.it/zld0,
11,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
12,Kingdom of the Planet of the Apes,2024,https://boxd.it/ohEE,
13,Uncut Gems,2019,https://boxd.it/gXGc,
14,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,
15,The Fall Guy,2024,https://boxd.it/s0Bm,
16,Inside Out 2,2024,https://boxd.it/CFrC,
17,A Quiet Place: Day One,2024,https://boxd.it/sDAi,
18,Kinds of Kindness,2024,https://boxd.it/CWPw,
19,Twisters,2024,https://boxd.it/qV7a,
20,Longlegs,2024,https://boxd.it/KzLM,
21,Alien: Romulus,2024,https://boxd.it/zGqO,
22,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
23,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
24,Speak No Evil,2024,https://boxd.it/G9f8,
25,Blink Twice,2024,https://boxd.it/vIOg,
26,Megalopolis,2024,https://boxd.it/lPBS,
27,Saturday Night,2024,https://boxd.it/Gpfo,
28,A Real Pain,2024,https://boxd.it/CjNG,
29,We Live in Time,2024,https://boxd.it/FC5u,
30,Moana 2,2024,https://boxd.it/LcjW,
31,Interstellar,2014,https://boxd.it/4VZ8,
32,The Brutalist,2024,https://boxd.it/k4BO,
33,A Complete Unknown,2024,https://boxd.it/oBYa,
34,Se7en,1995,https://boxd.it/29zs,
35,Babygirl,2024,https://boxd.it/Fvai,
36,Better Man,2024,https://boxd.it/u6t8,
37,Nickel Boys,2024,https://boxd.it/CStQ,
38,Talk to Me,2022,https://boxd.it/C6uQ,
39,I'm Still Here,2024,https://boxd.it/BPEO,
40,Oppenheimer,2023,https://boxd.it/wUow,
41,Mickey 17,2025,https://boxd.it/q1Dk,
42,A Minecraft Movie,2025,https://boxd.it/zRro,
43,Warfare,2025,https://boxd.it/LbRo,
44,The Amateur,2025,https://boxd.it/F9NW,
45,Sinners,2025,https://boxd.it/KQMM,
46,Thunderbolts*,2025,https://boxd.it/BfbQ,
47,Friendship,2024,https://boxd.it/L6Dc,
48,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,
49,Lilo & Stitch,2025,https://boxd.it/kbUe,
50,The Phoenician Scheme,2025,https://boxd.it/H0Ca,
51,F1,2025,https://boxd.it/yjVM,
52,Superman,2025,https://boxd.it/E9IU,
53,Eddington,2025,https://boxd.it/o6MC,
54,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,
55,Together,2025,https://boxd.it/LdFE,
56,Weapons,2025,https://boxd.it/EMTM,
57,The Naked Gun,2025,https://boxd.it/Da9k,
58,Freakier Friday,2025,https://boxd.it/GxwW,
59,Lurker,2025,https://boxd.it/McHG,
60,The Roses,2025,https://boxd.it/MjnI,
61,One Battle After Another,2025,https://boxd.it/DUHM,
62,The Smashing Machine,2025,https://boxd.it/syUC,
63,Nuremberg,2025,https://boxd.it/K6qU,
64,The Running Man,2025,https://boxd.it/u36A,
65,Hamnet,2025,https://boxd.it/woVy,
66,Avatar: Fire and Ash,2025,https://boxd.it/2W7s,
67,Marty Supreme,2025,https://boxd.it/Off0,
68,Is This Thing On?,2025,https://boxd.it/H73Q,
69,No Other Choice,2025,https://boxd.it/nKiA,
70,Send Help,2026,https://boxd.it/JuhA,
