Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-04-07,NYC,"nyc, allstats",https://boxd.it/uCSyI,"One of my favorite things in the world is seeing a movie that has scenes in NYC and trying to locate exactly where it is in the city. 

Here is a list of movies I’ve seen that are based in, have scenes in, or just reference NYC. 

No particular order"

Position,Name,Year,URL,Description
1,Ghostbusters: Frozen Empire,2024,https://boxd.it/AxYu,
2,The Upside,2017,https://boxd.it/fEPM,
3,Madame Web,2024,https://boxd.it/nwD0,
4,Once Upon a Time in Queens,2021,https://boxd.it/SZii,
5,Doc & Darryl,2016,https://boxd.it/d7z8,
6,Maestro,2023,https://boxd.it/j0DE,
7,John Wick,2014,https://boxd.it/7dEc,
8,Now You See Me 2,2016,https://boxd.it/99fw,
9,Elf,2003,https://boxd.it/1VyK,
10,Now You See Me,2013,https://boxd.it/2Bsu,
11,It Ain't Over,2023,https://boxd.it/ArIg,
12,Captain America: The First Avenger,2011,https://boxd.it/28b0,
13,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
14,Joker,2019,https://boxd.it/h4cS,
15,Taxi Driver,1976,https://boxd.it/2b8y,
16,Uncut Gems,2019,https://boxd.it/gXGc,
17,The Avengers,2012,https://boxd.it/1xFW,
18,Catch Me If You Can,2002,https://boxd.it/29VS,
19,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,
20,Limitless,2011,https://boxd.it/Aly,
21,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
22,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
23,Spider-Man 3,2007,https://boxd.it/2a7Y,
24,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
25,American Psycho,2000,https://boxd.it/28Vs,
26,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
27,Deadpool,2016,https://boxd.it/9fOC,
28,The Devil Wears Prada,2006,https://boxd.it/2awE,
29,Doctor Strange,2016,https://boxd.it/8MH8,
30,Spider-Man 2,2004,https://boxd.it/2a88,
31,The Amazing Spider-Man,2012,https://boxd.it/27PI,
32,The Great Gatsby,2013,https://boxd.it/JY,
