Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-19,Recommendations from Friends,,https://boxd.it/D7SzU,Movies people have verbally recommended to me

Position,Name,Year,URL,Description
1,An American Werewolf in London,1981,https://boxd.it/29yk,<p>Steve</p>
2,Fair Play,2023,https://boxd.it/yirc,<p>Joe (UpClear)</p>
3,I Care a Lot,2020,https://boxd.it/mcHk,<p>Joe (UpClear)</p>
4,Sound of Noise,2010,https://boxd.it/Izo,Brian (UpClear)
5,Primer,2004,https://boxd.it/6YA,Brian (UpClear)
6,EO,2022,https://boxd.it/txhc,Rose
7,Oldboy,2003,https://boxd.it/29R2,<p>Paul Han (UpClear)</p>
8,The Outfit,2022,https://boxd.it/u6Eq,<p>Paul Han (UpClear)</p>
9,The Uninvited,2024,https://boxd.it/G7zg,<p>Paul Han (UpClear)</p>
10,The Goonies,1985,https://boxd.it/1YVC,<p>Gindi (UpClear)</p>
11,Dikkenek,2006,https://boxd.it/1ZUA,Joseph (UpClear)
12,Nobody,2021,https://boxd.it/mLqS,Brain (UpClear)
13,Highlander,1986,https://boxd.it/20GE,Gindi (UpClear) - Movie was filmed at the bar across the street from our office
14,The Power of the Dog,2021,https://boxd.it/m99E,Ethan (UpClear)
15,Disaster Zone: Volcano in New York,2006,https://boxd.it/L10,Bobby (UpClear)
16,Border,2018,https://boxd.it/iMbG,Rose
17,Friday,1995,https://boxd.it/1VLO,Eric M (UpClear)
18,Elvis & Nixon,2016,https://boxd.it/9Alc,Uncle Johnny
19,The Pelican Brief,1993,https://boxd.it/1Xt8,Eric M (UpClear)
20,Hundreds of Beavers,2022,https://boxd.it/CyUM,Steve
21,A New Leaf,1971,https://boxd.it/19FS,Steve
