Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-07-11,Seen on Film,allstats,https://boxd.it/KEvDS,Ordered by first watch date on film (some viewed multiple times)

Position,Name,Year,URL,Description
1,Oppenheimer,2023,https://boxd.it/wUow,IMAX 70MM (2X)
2,Tenet,2020,https://boxd.it/leq4,IMAX 70MM
3,Dune: Part Two,2024,https://boxd.it/pUfA,IMAX 70MM
4,Anora,2024,https://boxd.it/Egcw,35MM
5,The Brutalist,2024,https://boxd.it/k4BO,70MM
6,Interstellar,2014,https://boxd.it/4VZ8,IMAX 70MM (2X)
7,Sinners,2025,https://boxd.it/KQMM,IMAX 70MM (3X)
8,Daughters of the Dust,1991,https://boxd.it/2dkw,35MM
9,Inherent Vice,2014,https://boxd.it/5hla,70MM
10,One Battle After Another,2025,https://boxd.it/DUHM,IMAX 70MM
11,Marty Supreme,2025,https://boxd.it/Off0,70MM
