Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-12-21,Untold Documentaries Ranked,"ranking, netflix, documentary",https://boxd.it/BpNhE,"Missing:
- <i>Untold: Deal with the Devil </i>(2021)
<i>- Untold: Caitlyn Jenner </i>(2021)
<i>- Untold: Breaking Point </i>(2021)
- <i>Untold: The Rise and Fall of AND1 </i>(2022)
- <i>Untold: The Race of the Century </i>(2022)"

Position,Name,Year,URL,Description
1,Untold: The Girlfriend Who Didn't Exist,2022,https://boxd.it/CqKE,
2,Untold: Hall of Shame,2023,https://boxd.it/HAhC,
3,Untold: Malice at the Palace,2021,https://boxd.it/wnUa,
4,Untold: Operation Flagrant Foul,2022,https://boxd.it/BT0e,
5,Untold: Swamp Kings,2023,https://boxd.it/HRss,
6,Untold: Johnny Football,2023,https://boxd.it/HxO4,
7,Untold: Hope Solo vs. U.S. Soccer,2024,https://boxd.it/OAb4,
8,Untold: Sign Stealer,2024,https://boxd.it/OAaU,
9,Untold: Crime & Penalties,2021,https://boxd.it/woAq,
10,Untold: Jake Paul the Problem Child,2023,https://boxd.it/H9J0,
11,Untold: The Murder of Air McNair,2024,https://boxd.it/OAbS,
