Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-10-04,Wes Anderson Ranked,"ranking, director",https://boxd.it/PhDGE,

Position,Name,Year,URL,Description
1,Isle of Dogs,2018,https://boxd.it/dZrW,
2,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
3,Poison,2023,https://boxd.it/Is7Q,
4,The Phoenician Scheme,2025,https://boxd.it/H0Ca,
5,The Rat Catcher,2023,https://boxd.it/Is8a,
6,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,
7,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,
